Ticker ,no_of_comments ,sentiment ,sentiment_score ,Previous Close ,Open   ,Bid        ,Ask        ,Day's Range   ,52 Week Range ,Volume        ,Avg. Volume   ,Market Cap (intraday) ,Beta (5Y Monthly) ,PE Ratio (TTM) ,EPS (TTM) ,Earnings Date           ,Forward Dividend & Yield 1.00 ,Ex-Dividend Date ,1y Target Est ,
INTC   ,            90 ,Bullish   ,0.128           ,         21.84 , 22.41 ,22.42x400  ,22.50x100  ,22.03-22.77   ,18.51-51.28   ,"108,322,072" ,"76,864,834"  ,95.975B               ,             1.02 ,93.53          ,0.24      ,"Oct24,2024-Oct28,2024" ,--                            ,"Aug7,2024"      ,25.46         ,
NVDA   ,            55 ,Bullish   ,0.009           ,        116.00 ,116.46 ,115.96x100 ,116.03x400 ,114.86-116.99 ,39.23-140.76  ,"143,836,219" ,"332,848,292" ,2.845T                ,             1.67 ,54.45          ,2.13      ,"Nov19,2024-Nov25,2024" ,--                            ,"Sep12,2024"     ,145.22        ,
TSLA   ,            22 ,Bearish   ,-0.003          ,        238.25 ,242.64 ,248.42x300 ,249.00x200 ,241.92-249.99 ,138.80-271.00 ,"64,472,964"  ,"96,919,769"  ,794.858B              ,             2.29 ,70.09          ,3.55      ,"Oct18,2024-Oct28,2024" ,--                            ,--               ,211.31        ,
AI     ,            18 ,Bullish   ,0.294           ,         23.25 , 23.23 ,23.21x3100 ,23.23x3000 ,22.97-23.25   ,18.85-38.30   ,"436,434"     ,"3,886,965"   ,2.928B                ,             1.80 ,--             ,-2.28     ,"Dec4,2024-Dec9,2024"   ,--                            ,--               ,25.11         ,
MU     ,            16 ,Bullish   ,0.05            ,         90.90 , 92.61 ,93.46x300  ,99.00x100  ,92.60-94.79   ,63.83-157.54  ,"16,714,504"  ,"24,633,849"  ,103.743B              ,             1.18 ,--             ,-1.41     ,"Sep25,2024"            ,--                            ,"Jul8,2024"      ,156.01        ,
QQQ    ,            12 ,Bullish   ,0.15            ,        483.36 ,482.46 ,482.26x900 ,482.34x900 ,478.30-483.69 ,342.35-503.52 ,"33,714,552"  ,"37,394,084"  ,--                    ,             1.18 ,39.34          ,--        ,--                      ,--                            ,--               ,--            ,
LUMN   ,            11 ,Bullish   ,0.136           ,          6.66 ,  6.75 ,7.03x1400  ,7.04x800   ,6.57-7.11     ,0.78-7.83     ,"10,541,318"  ,"37,450,863"  ,7.227B                ,             1.17 ,--             ,-2.10     ,"Oct29,2024-Nov4,2024"  ,--                            ,"Aug29,2022"     ,4.57          ,
MSFT   ,            10 ,Bearish   ,-0.197          ,        435.27 ,434.15 ,432.03x300 ,433.94x200 ,430.39-436.46 ,309.45-468.35 ,"7,085,130"   ,"20,156,792"  ,3.224T                ,             0.90 ,36.79          ,11.79     ,"Oct22,2024-Oct28,2024" ,--                            ,"Nov21,2024"     ,496.38        ,
PLTR   ,            10 ,Bearish   ,-0.037          ,         36.83 , 36.01 ,37.12x1800 ,37.11x2900 ,35.71-37.29   ,13.82-37.35   ,"449,908,585" ,"56,665,380"  ,83.308B               ,             2.71 ,218.82         ,0.17      ,"Oct31,2024-Nov4,2024"  ,--                            ,--               ,26.94         ,
AAPL   ,             8 ,Bearish   ,-0.047          ,        228.20 ,227.34 ,226.53x100 ,227.10x100 ,225.86-229.45 ,164.08-237.23 ,"29,197,829"  ,"56,802,595"  ,3.449T                ,             1.24 ,34.53          ,6.57      ,"Oct31,2024-Nov4,2024"  ,(0.44%)                       ,"Aug12,2024"     ,240.58        ,
